,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol
3476,Flex Ltd.,7.5,Negligible ESG Risk,Technology Hardware,NAS,FLEX
2735,"Resideo Technologies, Inc.",7.5,Negligible ESG Risk,Retailing,NYS,REZI
1885,Texas Pacific Land Corp.,7.6,Negligible ESG Risk,Oil & Gas Producers,NYS,TPL
3461,"Arrow Electronics, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NYS,ARW
3475,Fabrinet,7.7,Negligible ESG Risk,Technology Hardware,NYS,FN
3495,"Novanta, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NAS,NOVT
2086,"Rayonier, Inc.",7.7,Negligible ESG Risk,Real Estate,NYS,RYN
3504,TD SYNNEX Corp.,7.8,Negligible ESG Risk,Technology Hardware,NYS,SNX
525,"TOPPAN Holdings, Inc.",7.8,Negligible ESG Risk,Commercial Services,TKS,7911
487,Cimpress Plc,7.8,Negligible ESG Risk,Commercial Services,NAS,CMPR
491,De La Rue Plc,7.8,Negligible ESG Risk,Commercial Services,LON,DLAR
492,dip Corp.,7.9,Negligible ESG Risk,Commercial Services,TKS,2379
3460,Anritsu Corp.,7.9,Negligible ESG Risk,Technology Hardware,TKS,6754
9,Schaeffler AG,7.9,Negligible ESG Risk,Auto Components,ETR,SHA
3506,"TTM Technologies, Inc.",7.9,Negligible ESG Risk,Technology Hardware,NAS,TTMI
2075,Mori Hills REIT Investment Corp.,7.9,Negligible ESG Risk,Real Estate,TKS,3234
513,"Pitney Bowes, Inc.",7.9,Negligible ESG Risk,Commercial Services,NYS,PBI
2019,Big Yellow Group Plc,8.0,Negligible ESG Risk,Real Estate,LON,BYG
482,ASGN Incorporated,8.0,Negligible ESG Risk,Commercial Services,NYS,ASGN
3870,Coats Group Plc,8.0,Negligible ESG Risk,Textiles & Apparel,LON,COA
2017,"Anywhere Real Estate, Inc.",8.0,Negligible ESG Risk,Real Estate,NYS,HOUS
2737,"Valvoline, Inc.",8.0,Negligible ESG Risk,Retailing,NYS,VVV
511,PageGroup Plc,8.0,Negligible ESG Risk,Commercial Services,LON,PAGE
1011,Deutsche Börse AG,8.1,Negligible ESG Risk,Diversified Financials,ETR,DB1
2018,"AvalonBay Communities, Inc.",8.1,Negligible ESG Risk,Real Estate,NYS,AVB
2093,"Sekisui House Reit, Inc.",8.2,Negligible ESG Risk,Real Estate,TKS,3309
2096,"Starwood Property Trust, Inc.",8.2,Negligible ESG Risk,Real Estate,NYS,STWD
1020,Molten Ventures Plc,8.2,Negligible ESG Risk,Diversified Financials,LON,GROW
507,MITIE Group Plc,8.3,Negligible ESG Risk,Commercial Services,LON,MTO
502,Korn Ferry,8.3,Negligible ESG Risk,Commercial Services,NYS,KFY
3490,"Methode Electronics, Inc.",8.3,Negligible ESG Risk,Technology Hardware,NYS,MEI
2102,The British Land Co. Plc,8.4,Negligible ESG Risk,Real Estate,LON,BLND
2002,"Royal Gold, Inc.",8.5,Negligible ESG Risk,Precious Metals,NAS,RGLD
500,"Kforce, Inc.",8.6,Negligible ESG Risk,Commercial Services,NYS,KFRC
498,IWG Plc,8.6,Negligible ESG Risk,Commercial Services,LON,IWG
2081,"ORIX JREIT, Inc.",8.6,Negligible ESG Risk,Real Estate,TKS,8954
6,ElringKlinger AG,8.6,Negligible ESG Risk,Auto Components,ETR,ZIL2
3499,Sanmina Corp.,8.6,Negligible ESG Risk,Technology Hardware,NAS,SANM
3503,Spectris Plc,8.6,Negligible ESG Risk,Technology Hardware,LON,SXS
715,"YETI Holdings, Inc.",8.6,Negligible ESG Risk,Consumer Durables,NYS,YETI
3110,Accenture Plc,8.6,Negligible ESG Risk,Software & Services,NYS,ACN
2057,"Hudson Pacific Properties, Inc.",8.6,Negligible ESG Risk,Real Estate,NYS,HPP
514,"Pronexus, Inc. (Japan)",8.7,Negligible ESG Risk,Commercial Services,TKS,7893
2089,Savills Plc,8.7,Negligible ESG Risk,Real Estate,LON,SVS
2013,AGNC Investment Corp.,8.7,Negligible ESG Risk,Real Estate,NAS,AGNC
3471,CTS Corp.,8.7,Negligible ESG Risk,Technology Hardware,NYS,CTS
1684,"Interpublic Group of Cos., Inc.",8.7,Negligible ESG Risk,Media,NYS,IPG
3463,"Badger Meter, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NYS,BMI
1682,Future Plc,8.8,Negligible ESG Risk,Media,LON,FUTR
2104,Tritax EuroBox Plc,8.8,Negligible ESG Risk,Real Estate,LON,EBOX
3500,"ScanSource, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NAS,SCSC
505,"ManpowerGroup, Inc.",8.8,Negligible ESG Risk,Commercial Services,NYS,MAN
509,Okamura Corp.,8.9,Negligible ESG Risk,Commercial Services,TKS,7994
2078,"Nippon Prologis REIT, Inc.",8.9,Negligible ESG Risk,Real Estate,TKS,3283
2083,"Piedmont Office Realty Trust, Inc.",8.9,Negligible ESG Risk,Real Estate,NYS,PDM
1007,3i Group Plc,8.9,Negligible ESG Risk,Diversified Financials,LON,III
169,Nationwide Building Society,8.9,Negligible ESG Risk,Banks,LON,NBS
3473,discoverIE Group Plc,8.9,Negligible ESG Risk,Technology Hardware,LON,DSCV
483,"BELLSYSTEM24 Holdings, Inc.",9.0,Negligible ESG Risk,Commercial Services,TKS,6183
499,"Kelly Services, Inc.",9.0,Negligible ESG Risk,Commercial Services,NAS,KELYA
3501,Seiko Epson Corp.,9.0,Negligible ESG Risk,Technology Hardware,TKS,6724
515,"Raksul, Inc.",9.1,Negligible ESG Risk,Commercial Services,TKS,4384
3502,Sensata Technologies Holding Plc,9.1,Negligible ESG Risk,Technology Hardware,NYS,ST
3869,Burberry Group Plc,9.1,Negligible ESG Risk,Textiles & Apparel,LON,BRBY
501,"KOKUYO CO., LTD.",9.1,Negligible ESG Risk,Commercial Services,TKS,7984
960,"Crown Holdings, Inc.",9.1,Negligible ESG Risk,Containers & Packaging,NYS,CCK
1,Aptiv Plc,9.1,Negligible ESG Risk,Auto Components,NYS,APTV
522,SThree Plc,9.2,Negligible ESG Risk,Commercial Services,LON,STEM
4290,United Utilities Group Plc,9.2,Negligible ESG Risk,Utilities,LON,UU
3482,"Itron, Inc.",9.2,Negligible ESG Risk,Technology Hardware,NAS,ITRI
518,Sato Holdings Corp.,9.2,Negligible ESG Risk,Commercial Services,TKS,6287
1683,Informa Plc,9.2,Negligible ESG Risk,Media,LON,INF
508,"Nichiban Co., Ltd.",9.2,Negligible ESG Risk,Commercial Services,TKS,4218
2055,Hammerson Plc,9.3,Negligible ESG Risk,Real Estate,LON,HMSO
3512,Western Digital Corp.,9.3,Negligible ESG Risk,Technology Hardware,NAS,WDC
11,"TS TECH CO., LTD.",9.3,Negligible ESG Risk,Auto Components,TKS,7313
495,"Ennis, Inc.",9.4,Negligible ESG Risk,Commercial Services,NYS,EBF
526,"TriNet Group, Inc.",9.4,Negligible ESG Risk,Commercial Services,NYS,TNET
517,"Recruit Holdings Co., Ltd.",9.4,Negligible ESG Risk,Commercial Services,TKS,6098
506,"MillerKnoll, Inc.",9.4,Negligible ESG Risk,Commercial Services,NAS,MLKN
3477,Halma Plc,9.4,Negligible ESG Risk,Technology Hardware,LON,HLMA
963,Smurfit Kappa Group Plc,9.4,Negligible ESG Risk,Containers & Packaging,LON,SKG
1692,WPP Plc,9.5,Negligible ESG Risk,Media,LON,WPP
3483,"Jabil, Inc.",9.5,Negligible ESG Risk,Technology Hardware,NYS,JBL
2010,"Activia Properties, Inc.",9.5,Negligible ESG Risk,Real Estate,TKS,3279
3484,Jenoptik AG,9.5,Negligible ESG Risk,Technology Hardware,ETR,JEN
2071,LXP Industrial Trust,9.5,Negligible ESG Risk,Real Estate,NYS,LXP
3505,"Trimble, Inc.",9.5,Negligible ESG Risk,Technology Hardware,NAS,TRMB
2109,Workspace Group Plc,9.6,Negligible ESG Risk,Real Estate,LON,WKP
524,"TechnoPro Holdings, Inc.",9.6,Negligible ESG Risk,Commercial Services,TKS,6028
2016,"Annaly Capital Management, Inc.",9.6,Negligible ESG Risk,Real Estate,NYS,NLY
2734,Kingfisher plc,9.6,Negligible ESG Risk,Retailing,LON,KGF
2087,"RE/MAX Holdings, Inc.",9.7,Negligible ESG Risk,Real Estate,NYS,RMAX
714,Yamaha Corp.,9.7,Negligible ESG Risk,Consumer Durables,TKS,7951
512,Pilot Corp.,9.7,Negligible ESG Risk,Commercial Services,TKS,7846
2090,SBA Communications Corp.,9.7,Negligible ESG Risk,Real Estate,NAS,SBAC
2065,Kite Realty Group Trust,9.8,Negligible ESG Risk,Real Estate,NYS,KRG
959,"AptarGroup, Inc.",9.8,Negligible ESG Risk,Containers & Packaging,NYS,ATR
2041,Elme Communities,9.8,Negligible ESG Risk,Real Estate,NYS,ELME
2732,Dunelm Group Plc,9.8,Negligible ESG Risk,Retailing,LON,DNLM
1495,Barratt Developments Plc,9.8,Negligible ESG Risk,Homebuilders,LON,BDEV
4288,Telecom Plus Plc,9.9,Negligible ESG Risk,Utilities,LON,TEP
2042,"Empire State Realty Trust, Inc.",9.9,Negligible ESG Risk,Real Estate,NYS,ESRT
3469,Cognex Corp.,9.9,Negligible ESG Risk,Technology Hardware,NAS,CGNX
3514,Zebra Technologies Corp.,9.9,Negligible ESG Risk,Technology Hardware,NAS,ZBRA
558,Deluxe Corp.,10.0,Low ESG Risk,Commercial Services,NYS,DLX
2,"BorgWarner, Inc.",10.0,Negligible ESG Risk,Auto Components,NYS,BWA
1356,"Elevance Health, Inc.",10.0,Negligible ESG Risk,Healthcare,NYS,ELV
1690,The New York Times Co.,10.0,Negligible ESG Risk,Media,NYS,NYT
2736,Smiths News Plc,10.0,Negligible ESG Risk,Retailing,LON,SNWS
2387,Instone Real Estate Group SE,10.0,Low ESG Risk,Real Estate,ETR,INS
2856,Inchcape Plc,10.0,Low ESG Risk,Retailing,LON,INCH
1685,News Corp.,10.0,Negligible ESG Risk,Media,NAS,NWSA
2156,Aroundtown SA,10.1,Low ESG Risk,Real Estate,ETR,AT1
3702,"MKS Instruments, Inc.",10.1,Low ESG Risk,Technology Hardware,NAS,MKSI
606,"Kyodo Printing Co., Ltd.",10.1,Low ESG Risk,Commercial Services,TKS,7914
2463,"Marcus & Millichap, Inc.",10.1,Low ESG Risk,Real Estate,NYS,MMI
568,Experian Plc,10.1,Low ESG Risk,Commercial Services,LON,EXPN
2332,Grainger Plc,10.1,Low ESG Risk,Real Estate,LON,GRI
786,Sleep Number Corp.,10.2,Low ESG Risk,Consumer Durables,NAS,SNBR
3008,WH Smith Plc,10.2,Low ESG Risk,Retailing,LON,SMWH
1646,"Ingersoll Rand, Inc.",10.2,Low ESG Risk,Machinery,NYS,IR
1778,ITV Plc,10.2,Low ESG Risk,Media,LON,ITV
2881,"Lithia Motors, Inc.",10.2,Low ESG Risk,Retailing,NYS,LAD
584,"Heidrick & Struggles International, Inc.",10.3,Low ESG Risk,Commercial Services,NAS,HSII
2236,"Cousins Properties, Inc.",10.3,Low ESG Risk,Real Estate,NYS,CUZ
458,Linde Plc,10.3,Low ESG Risk,Chemicals,NAS,LIN
2553,Primary Health Properties Plc,10.3,Low ESG Risk,Real Estate,LON,PHP
624,"NL Industries, Inc.",10.3,Low ESG Risk,Commercial Services,NYS,NL
968,Ball Corp.,10.3,Low ESG Risk,Containers & Packaging,NYS,BALL
682,"UT Group Co., Ltd.",10.4,Low ESG Risk,Commercial Services,TKS,2146
1931,Danaher Corp.,10.4,Low ESG Risk,Pharmaceuticals,NYS,DHR
2425,Kimco Realty Corp.,10.4,Low ESG Risk,Real Estate,NYS,KIM
681,"Uchida Yoko Co., Ltd.",10.4,Low ESG Risk,Commercial Services,TKS,8057
3821,Yokogawa Electric Corp.,10.4,Low ESG Risk,Technology Hardware,TKS,6841
2457,Macerich Co.,10.5,Low ESG Risk,Real Estate,NYS,MAC
1183,Ecora Resources Plc,10.5,Low ESG Risk,Diversified Metals,LON,ECOR
787,"Smith & Wesson Brands, Inc.",10.5,Low ESG Risk,Consumer Durables,NAS,SWBI
3796,TOYO Corp.,10.5,Low ESG Risk,Technology Hardware,TKS,8151
1054,"Cannae Holdings, Inc.",10.5,Low ESG Risk,Diversified Financials,NYS,CNNE
2556,"Prologis, Inc.",10.6,Low ESG Risk,Real Estate,NYS,PLD
2583,"Rexford Industrial Realty, Inc.",10.7,Low ESG Risk,Real Estate,NYS,REXR
3658,IPG Photonics Corp.,10.7,Low ESG Risk,Technology Hardware,NAS,IPGP
647,"Robert Half, Inc.",10.7,Low ESG Risk,Commercial Services,NYS,RHI
3544,Azbil Corp.,10.7,Low ESG Risk,Technology Hardware,TKS,6845
605,"KOSAIDO Holdings Co., Ltd.",10.7,Low ESG Risk,Commercial Services,TKS,7868
2232,COPT Defense Properties,10.7,Low ESG Risk,Real Estate,NYS,CDP
2744,"Advance Auto Parts, Inc.",10.7,Low ESG Risk,Retailing,NYS,AAP
2847,Headlam Group Plc,10.7,Low ESG Risk,Retailing,LON,HEAD
717,Acushnet Holdings Corp.,10.7,Low ESG Risk,Consumer Durables,NYS,GOLF
582,Hays plc,10.8,Low ESG Risk,Commercial Services,LON,HAS
2453,LSL Property Services Plc,10.8,Low ESG Risk,Real Estate,LON,LSL
137,"Yamaha Motor Co., Ltd.",10.8,Low ESG Risk,Automobiles,TKS,7272
1824,Reach Plc,10.9,Low ESG Risk,Media,LON,RCH
829,"Adtalem Global Education, Inc.",10.9,Low ESG Risk,Consumer Services,NYS,ATGE
3767,Shimadzu Corp.,10.9,Low ESG Risk,Technology Hardware,TKS,7701
3383,SAP SE,10.9,Low ESG Risk,Software & Services,ETR,SAP
2329,Globalworth Real Estate Investments Ltd.,10.9,Low ESG Risk,Real Estate,LON,GWI
2931,Pool Corp.,10.9,Low ESG Risk,Retailing,NAS,POOL
2760,"AutoZone, Inc.",11.0,Low ESG Risk,Retailing,NYS,AZO
434,Zurn Elkay Water Solutions Corp.,11.0,Low ESG Risk,Building Products,NYS,ZWS
44,"Garrett Motion, Inc.",11.0,Low ESG Risk,Auto Components,NAS,GTX
2882,LKQ Corp.,11.0,Low ESG Risk,Retailing,NAS,LKQ
626,"Open Up Group, Inc.",11.0,Low ESG Risk,Commercial Services,TKS,2154
3698,Midwich Group Plc,11.0,Low ESG Risk,Technology Hardware,LON,MIDW
3639,"HP, Inc.",11.0,Low ESG Risk,Technology Hardware,NYS,HPQ
797,"The AZEK Co., Inc.",11.1,Low ESG Risk,Consumer Durables,NYS,AZEK
3520,Adtran Networks SE,11.1,Low ESG Risk,Technology Hardware,ETR,ADV
2688,"Veris Residential, Inc.",11.1,Low ESG Risk,Real Estate,NYS,VRE
3654,"Insight Enterprises, Inc.",11.1,Low ESG Risk,Technology Hardware,NAS,NSIT
2782,"CarMax, Inc.",11.1,Low ESG Risk,Retailing,NYS,KMX
3725,Oxford Instruments Plc,11.2,Low ESG Risk,Technology Hardware,LON,OXIG
3166,"Cadence Design Systems, Inc.",11.2,Low ESG Risk,Software & Services,NAS,CDNS
1381,"Cardinal Health, Inc.",11.2,Low ESG Risk,Healthcare,NYS,CAH
3807,Vontier Corp.,11.2,Low ESG Risk,Technology Hardware,NYS,VNT
2687,"Ventas, Inc.",11.2,Low ESG Risk,Real Estate,NYS,VTR
637,"Quad/Graphics, Inc.",11.3,Low ESG Risk,Commercial Services,NYS,QUAD
1384,"Cencora, Inc.",11.3,Low ESG Risk,Healthcare,NYS,COR
2574,Regency Centers Corp.,11.3,Low ESG Risk,Real Estate,NAS,REG
619,"Mitsubishi Pencil Co., Ltd.",11.3,Low ESG Risk,Commercial Services,TKS,7976
2113,abrdn Property Income Trust Ltd.,11.3,Low ESG Risk,Real Estate,LON,API
1473,STAAR Surgical Co.,11.3,Low ESG Risk,Healthcare,NAS,STAA
754,"Johnson Outdoors, Inc.",11.3,Low ESG Risk,Consumer Durables,NAS,JOUT
4363,Pennon Group Plc,11.3,Low ESG Risk,Utilities,LON,PNN
1230,Siemens Energy AG,11.3,Low ESG Risk,Electrical Equipment,ETR,ENR
3010,"Williams-Sonoma, Inc.",11.3,Low ESG Risk,Retailing,NYS,WSM
814,Wickes Group Plc,11.3,Low ESG Risk,Consumer Durables,LON,WIX
1911,"Agilent Technologies, Inc.",11.4,Low ESG Risk,Pharmaceuticals,NYS,A
2281,Equity Residential,11.4,Low ESG Risk,Real Estate,NYS,EQR
1594,"Principal Financial Group, Inc.",11.4,Low ESG Risk,Insurance,NAS,PFG
2406,Japan Real Estate Investment Corp.,11.4,Low ESG Risk,Real Estate,TKS,8952
901,Playtech Plc,11.5,Low ESG Risk,Consumer Services,LON,PTEC
1154,"S&P Global, Inc.",11.5,Low ESG Risk,Diversified Financials,NYS,SPGI
2311,Foxtons Group Plc,11.5,Low ESG Risk,Real Estate,LON,FOXT
3632,Hewlett Packard Enterprise Co.,11.5,Low ESG Risk,Technology Hardware,NYS,HPE
2251,Daiwa Office Investment Corp.,11.5,Low ESG Risk,Real Estate,TKS,8976
599,"JAC Recruitment Co., Ltd.",11.5,Low ESG Risk,Commercial Services,TKS,2124
530,Altech Corp.,11.5,Low ESG Risk,Commercial Services,TKS,4641
758,"La-Z-Boy, Inc.",11.6,Low ESG Risk,Consumer Durables,NYS,LZB
551,CEWE Stiftung & Co. KGaA,11.6,Low ESG Risk,Commercial Services,ETR,CWC
531,Amadeus FiRe AG,11.6,Low ESG Risk,Commercial Services,ETR,AAD
3756,Seagate Technology Holdings Plc,11.6,Low ESG Risk,Technology Hardware,NAS,STX
2287,"Essex Property Trust, Inc.",11.6,Low ESG Risk,Real Estate,NYS,ESS
3032,"Applied Materials, Inc.",11.6,Low ESG Risk,Semiconductors,NAS,AMAT
2135,American Homes 4 Rent,11.6,Low ESG Risk,Real Estate,NYS,AMH
2756,Auto1 Group SE,11.6,Low ESG Risk,Retailing,ETR,AG1
63,Lear Corp.,11.6,Low ESG Risk,Auto Components,NYS,LEA
3565,"Citizen Watch Co., Ltd.",11.6,Low ESG Risk,Technology Hardware,TKS,7762
1369,"Anika Therapeutics, Inc.",11.7,Low ESG Risk,Healthcare,NAS,ANIK
3727,Park Aerospace Corp.,11.7,Low ESG Risk,Technology Hardware,NYS,PKE
2361,"Highwoods Properties, Inc.",11.7,Low ESG Risk,Real Estate,NYS,HIW
2470,"Mid-America Apartment Communities, Inc.",11.7,Low ESG Risk,Real Estate,NYS,MAA
2572,Redfin Corporation,11.7,Low ESG Risk,Real Estate,NAS,RDFN
1812,ProSiebenSat.1 Media SE,11.7,Low ESG Risk,Media,ETR,PSM
573,"Fullcast Holdings Co., Ltd.",11.7,Low ESG Risk,Commercial Services,TKS,4848
52,HELLA GmbH & Co. KGaA,11.7,Low ESG Risk,Auto Components,ETR,HLE
21,Bridgestone Corp.,11.7,Low ESG Risk,Auto Components,TKS,5108
3745,Richardson Electronics Ltd.,11.7,Low ESG Risk,Technology Hardware,NAS,RELL
3580,"Daiwabo Holdings Co., Ltd.",11.7,Low ESG Risk,Technology Hardware,TKS,3107
2564,Public Storage,11.7,Low ESG Risk,Real Estate,NYS,PSA
4303,Atlantica Sustainable Infrastructure Plc,11.8,Low ESG Risk,Utilities,NAS,AY
1371,AS ONE Corp.,11.8,Low ESG Risk,Healthcare,TKS,7476
2919,"O'Reilly Automotive, Inc.",11.8,Low ESG Risk,Retailing,NAS,ORLY
2889,"Lowe's Companies, Inc.",11.8,Low ESG Risk,Retailing,NYS,LOW
1546,Allianz SE,11.9,Low ESG Risk,Insurance,ETR,ALV
535,"Barrett Business Services, Inc.",11.9,Low ESG Risk,Commercial Services,NAS,BBSI
1752,"Dolby Laboratories, Inc.",11.9,Low ESG Risk,Media,NYS,DLB
2517,"Opendoor Technologies, Inc.",11.9,Low ESG Risk,Real Estate,NAS,OPEN
3743,Renishaw Plc,11.9,Low ESG Risk,Technology Hardware,LON,RSW
976,DS Smith Plc,11.9,Low ESG Risk,Containers & Packaging,LON,SMDS
3769,SIIX Corp.,11.9,Low ESG Risk,Technology Hardware,TKS,7613
2450,LondonMetric Property Plc,11.9,Low ESG Risk,Real Estate,LON,LMP
2238,CPI Property Group SA,12.0,Low ESG Risk,Real Estate,ETR,O5G
2242,"Crown Castle, Inc.",12.0,Low ESG Risk,Real Estate,NYS,CCI
2255,Derwent London Plc,12.0,Low ESG Risk,Real Estate,LON,DLN
18,"Autoliv, Inc.",12.0,Low ESG Risk,Auto Components,NYS,ALV
3688,"Lumentum Holdings, Inc.",12.0,Low ESG Risk,Technology Hardware,NAS,LITE
1899,Mondi Plc,12.0,Low ESG Risk,Paper & Forestry,LON,MNDI
2947,Ryoden Corp.,12.0,Low ESG Risk,Retailing,TKS,8084
966,Ardagh Metal Packaging SA,12.0,Low ESG Risk,Containers & Packaging,NYS,AMBP
2171,"Boston Properties, Inc.",12.0,Low ESG Risk,Real Estate,NYS,BXP
3225,"ExlService Holdings, Inc.",12.0,Low ESG Risk,Software & Services,NAS,EXLS
770,Mizuno Corp.,12.0,Low ESG Risk,Consumer Durables,TKS,8022
2842,Halfords Group Plc,12.0,Low ESG Risk,Retailing,LON,HFD
2174,Brandywine Realty Trust,12.0,Low ESG Risk,Real Estate,NYS,BDN
2780,"Canon Marketing Japan, Inc.",12.1,Low ESG Risk,Retailing,TKS,8060
1515,Meritage Homes Corp.,12.1,Low ESG Risk,Homebuilders,NYS,MTH
1399,"Dentsply Sirona, Inc.",12.1,Low ESG Risk,Healthcare,NAS,XRAY
2826,"Foot Locker, Inc.",12.1,Low ESG Risk,Retailing,NYS,FL
1415,Haemonetics Corp.,12.1,Low ESG Risk,Healthcare,NYS,HAE
2176,"Brixmor Property Group, Inc.",12.1,Low ESG Risk,Real Estate,NYS,BRX
3709,NEC Corp.,12.1,Low ESG Risk,Technology Hardware,TKS,6701
1961,"Mettler-Toledo International, Inc.",12.1,Low ESG Risk,Pharmaceuticals,NYS,MTD
3704,"Motorola Solutions, Inc.",12.2,Low ESG Risk,Technology Hardware,NYS,MSI
1409,Fresenius Medical Care AG,12.2,Low ESG Risk,Healthcare,ETR,FME
2260,"Digital Realty Trust, Inc.",12.2,Low ESG Risk,Real Estate,NYS,DLR
2597,Safestore Holdings Plc,12.2,Low ESG Risk,Real Estate,LON,SAFE
3062,Lam Research Corp.,12.2,Low ESG Risk,Semiconductors,NAS,LRCX
979,"Fuji Seal International, Inc.",12.2,Low ESG Risk,Containers & Packaging,TKS,7864
1760,Fox Corp.,12.2,Low ESG Risk,Media,NAS,FOXA
759,"Leggett & Platt, Inc.",12.3,Low ESG Risk,Consumer Durables,NYS,LEG
2354,Helical Plc,12.3,Low ESG Risk,Real Estate,LON,HLCL
3608,"FARO Technologies, Inc.",12.3,Low ESG Risk,Technology Hardware,NAS,FARO
2441,LaSalle LOGIPORT REIT,12.3,Low ESG Risk,Real Estate,TKS,3466
1847,Ströer SE & Co. KGaA,12.3,Low ESG Risk,Media,ETR,SAX
1785,Kadokawa Corp.,12.3,Low ESG Risk,Media,TKS,9468
2998,"USS Co., Ltd.",12.3,Low ESG Risk,Retailing,TKS,4732
1652,Knorr-Bremse AG,12.3,Low ESG Risk,Machinery,ETR,KBX
3665,Judges Scientific Plc,12.3,Low ESG Risk,Technology Hardware,LON,JDG
2398,"Iron Mountain, Inc.",12.4,Low ESG Risk,Real Estate,NYS,IRM
3933,HUGO BOSS AG,12.4,Low ESG Risk,Textiles & Apparel,ETR,BOSS
594,"Insperity, Inc.",12.4,Low ESG Risk,Commercial Services,NYS,NSP
1643,GEA Group AG,12.4,Low ESG Risk,Machinery,ETR,G1A
1521,Redrow Plc,12.4,Low ESG Risk,Homebuilders,LON,RDW
4369,ReNew Energy Global Plc,12.4,Low ESG Risk,Utilities,NAS,RNW
2301,Federal Realty Investment Trust,12.4,Low ESG Risk,Real Estate,NYS,FRT
800,Topgolf Callaway Brands Corp.,12.5,Low ESG Risk,Consumer Durables,NYS,MODG
2930,Pinewood Technologies Group Plc,12.5,Low ESG Risk,Retailing,LON,PINE
2618,"Simon Property Group, Inc.",12.5,Low ESG Risk,Real Estate,NYS,SPG
764,Marine Products Corp.,12.5,Low ESG Risk,Consumer Durables,NYS,MPX
3234,Fujitsu Ltd.,12.5,Low ESG Risk,Software & Services,TKS,6702
2249,"Daiwa House Industry Co., Ltd.",12.5,Low ESG Risk,Real Estate,TKS,1925
3545,Basler AG,12.5,Low ESG Risk,Technology Hardware,ETR,BSL
2391,InvenTrust Properties Corp.,12.6,Low ESG Risk,Real Estate,NYS,IVT
387,TBC Bank Group Plc,12.6,Low ESG Risk,Banks,LON,TBCG
2851,HORNBACH Holding AG & Co. KGaA,12.6,Low ESG Risk,Retailing,ETR,HBH
2925,"Penske Automotive Group, Inc.",12.6,Low ESG Risk,Retailing,NYS,PAG
2864,JD Sports Fashion Plc,12.6,Low ESG Risk,Retailing,LON,JD
3550,"Brother Industries, Ltd.",12.6,Low ESG Risk,Technology Hardware,TKS,6448
2136,American Tower Corp.,12.6,Low ESG Risk,Real Estate,NYS,AMT
738,"Escalade, Inc.",12.6,Low ESG Risk,Consumer Durables,NAS,ESCA
1497,Berkeley Group Holdings Plc,12.6,Low ESG Risk,Homebuilders,LON,BKG
