,company_name,industry,stock_exchange,stock_ticker_symbol,market_capital_euro,score
929,Wix.com Ltd.,Software & Services,NAS,WIX,8257338736.64,0.24707158267035667
930,"Liquidity Services, Inc.",Software & Services,NAS,LQDT,584711490.5600001,0.2452893850006104
931,"Dril-Quip, Inc.",Energy Services,NYS,DRQ,562357816.32,0.24528419268970267
932,LyondellBasell Industries NV,Chemicals,NYS,LYB,29579763220.48,0.2520243549098598
933,"Armstrong World Industries, Inc.",Building Products,NYS,AWI,4829294735.360001,0.24627531669327687
934,Acacia Research Corp.,Commercial Services,NAS,ACTG,512552755.2000001,0.2452726239713194
935,Landsea Homes Corp.,Homebuilders,NAS,LSEA,371095468.8,0.24523976627628155
936,"iQIYI, Inc.",Media,NAS,IQ,3231377264.6400003,0.24590415246211747
937,Clarivate Plc,Software & Services,NYS,CLVT,3928437565.44,0.24606606561180072
938,"Lennox International, Inc.",Building Products,NYS,LII,18074501939.2,0.24935191309981422
939,Progressive Corp.,Insurance,NYS,PGR,119273116139.52,0.27447122796597595
940,"Moderna, Inc.",Pharmaceuticals,NAS,MRNA,43739410268.16,0.25692626060684687
941,"Intevac, Inc.",Technology Hardware,NAS,IVAC,98563213.76,0.2467893657165286
942,"Titan International, Inc.",Machinery,NYS,TWI,558451893.76,0.24689618864791202
943,"Cricut, Inc.",Retailing,NAS,CRCT,1204236369.92,0.24704619145029744
944,Allegion Plc,Building Products,NYS,ALLE,10210135859.2,0.2491380815642039
945,VSE Corp.,Commercial Services,NAS,VSEC,1498121287.68,0.2471144550318331
946,"GXO Logistics, Inc.",Transportation,NYS,GXO,6028975206.400001,0.24816688166966164
947,"BGC Group, Inc.",Banks,NAS,BGC,4369328414.72,0.2477813789533339
948,"Penumbra, Inc.",Healthcare,NYS,PEN,7247578767.360001,0.24844993887510544
949,"Enphase Energy, Inc.",Electrical Equipment,NAS,ENPH,13913531473.92,0.25161120943314996
950,"Sunrun, Inc.",Utilities,NAS,RUN,3499438120.96,0.24919222408290398
951,"Superior Industries International, Inc.",Auto Components,NYS,SUP,96302597.12,0.24840174384635696
952,"Matson, Inc.",Transportation,NYS,MATX,4176734289.92,0.2493495464205251
953,OrthoPediatrics Corp.,Healthcare,NAS,KIDS,775840386.5600001,0.24855958686752852
954,"Halozyme Therapeutics, Inc.",Pharmaceuticals,NAS,HALO,6410791280.64,0.2498684731238881
955,Matthews International Corp.,Commercial Services,NAS,MATW,783176128.0,0.25017419403917796
956,"KVH Industries, Inc. (Delaware)",Technology Hardware,NAS,KVHI,84164514.56,0.2500118276386422
957,"NeoGenomics, Inc.",Pharmaceuticals,NAS,NEO,1821173120.0,0.2504152999551849
958,Union Pacific Corp.,Transportation,NYS,UNP,136898438103.04,0.28179104377376624
